,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.09984878710286993,0.1192787352903287,0.09639554546775354,-19.18463485287353
Topic_1,0.09832146496278864,0.09754402813248317,0.09845963708785983,0.9386622358193939
Topic_2,0.09811549485112282,0.08855817954624573,0.09981409532150587,12.710193268349895
Topic_3,0.09897881545135216,0.09269672844200026,0.10009531685458908,7.9814989557242795
Topic_4,0.10020642816118498,0.08373013989754896,0.10313472236327105,23.175146356455713
Topic_5,0.0995234895601905,0.09621401594910549,0.10011167497138453,4.0510303866131
Topic_6,0.10338139854908626,0.08687941885502756,0.10631425883216986,22.369900988371576
Topic_7,0.09936339074977782,0.10834928267550277,0.09776634809031273,-9.767424687881931
Topic_8,0.0999968598751963,0.10069790786778073,0.09987226416897754,-0.8199214028232612
Topic_9,0.10226387073643126,0.12605156334397669,0.09803613684217674,-22.225370125200154
