,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.04913032948614177,0.04955881931686092,0.04840584498434251,-2.326476595712907
Topic_1,0.049713140305500385,0.049318449833348946,0.05038047733331481,2.1534081130987386
Topic_2,0.048951288052049874,0.04885856766569582,0.0491080583604636,0.5106385771987059
Topic_3,0.05253410199705948,0.05261822743759669,0.05239186390059363,-0.4301998528390552
Topic_4,0.050352495079669324,0.05174593318053937,0.047996489788712265,-7.245870663391951
Topic_5,0.05013708418374222,0.05026236319866999,0.04992526420994337,-0.6706787490157955
Topic_6,0.04948889561922957,0.0490892744387261,0.05016456941848548,2.1904886394309617
Topic_7,0.04966722259333696,0.05061103340210428,0.04807144072277511,-5.01786371195412
Topic_8,0.048768312830253055,0.04918540044545671,0.048063107032019214,-2.2817612610108635
Topic_9,0.05023523416320032,0.04976052585489711,0.05103786420849882,2.5669711717405392
Topic_10,0.050801015602285365,0.051543152088054336,0.04954622180413028,-3.874288247859929
Topic_11,0.05074003565746222,0.04983483185380816,0.05227054135374681,4.887564398900501
Topic_12,0.048694313804343685,0.04768914856563836,0.050393832871028735,5.671487931196129
Topic_13,0.04894670635940687,0.04809319183316784,0.05038981656176982,4.7753634996172085
Topic_14,0.04911683246243228,0.0473638238782577,0.05208079440435679,9.959015425408689
Topic_15,0.05038320343813655,0.04961349449852894,0.05168461634846109,4.174513145800599
Topic_16,0.05099377222309557,0.0508153507634098,0.051295444685457464,0.9447812813158001
Topic_17,0.049640091973919394,0.04967271809418957,0.04958492819453511,-0.17673665348449905
Topic_18,0.05204285008744317,0.05511890682738081,0.04684189717101791,-15.016643349412773
Topic_19,0.04966307408129658,0.04924678682366656,0.05036692664634472,2.274543975201758
