,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.0998217330489523,0.09980915602248841,0.0998431512408943,0.034060220285026754
Topic_1,0.09981987347862395,0.09873852577345245,0.10166136700415017,2.9601831785537724
Topic_2,0.0992839520522423,0.09817691189745667,0.10116919883064805,3.0478519596509117
Topic_3,0.10024278122438621,0.10076650587324593,0.09935089830311267,-1.404839393671098
Topic_4,0.0997302030356231,0.09885469014766311,0.10122116778910223,2.393895158544542
Topic_5,0.09851888383996488,0.09644025682278315,0.10205870565297515,5.825833542227449
Topic_6,0.10011034354508255,0.10197735958257283,0.09693088708631055,-4.948620475092868
Topic_7,0.10035954139830104,0.10000894929468342,0.10095658625791708,0.9475521639982258
Topic_8,0.1030400124570251,0.10500501320690155,0.09969369180411274,-5.058159835019875
Topic_9,0.0990726759200953,0.10022263137865813,0.0971143460307485,-3.101380701296886
