,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.08486395952645476,0.0816287517354877,0.08528248619842967,4.476038632541682
Topic_1,0.1221883935480868,0.12206626444468077,0.1222041929311567,0.11299476321603363
Topic_2,0.10418312957499043,0.10394128829501055,0.10421441567239074,0.2627708217402433
Topic_3,0.08569859320583016,0.08595613372994214,0.08566527615622499,-0.33837907906719955
Topic_4,0.08894736185484796,0.08651338927385249,0.08926223573925395,3.1773653632967247
Topic_5,0.10984745748925201,0.11322612284466552,0.10941037225136781,-3.3700267194810887
Topic_6,0.09946097676810481,0.10082816771401827,0.09928410841419405,-1.531376930505848
Topic_7,0.11002608611449645,0.10844217409080681,0.11023099085966546,1.6495581943614896
Topic_8,0.09096275745406235,0.09329003495197927,0.09066168631152723,-2.817394850162694
Topic_9,0.1038212844638703,0.10410767291955732,0.10378423546578577,-0.3106759038034209
