,dominant_topic,topic_keywords,doc_count_all,doc_pct_all,doc_count_t1,doc_pct_t1,doc_count_t2,doc_pct_t2,doc_count_diff,doc_pct_diff
0,0.0,"doctor, care, patient, visit, office, test, medical, year, give, issue",180,0.016668210019446246,19,0.015359741309620048,161,0.01683748169838946,142,9.620867688988216
1,1.0,"make, feel, experience, time, question, baby, good, son, child, daughter",3237,0.29974997684970833,355,0.28698464025869036,2882,0.301401380464338,2527,5.023523277291871
2,2.0,"insurance, pay, review, send, money, charge, bill, receive, month, company",1220,0.11297342346513566,128,0.10347615198059822,1092,0.11420204978038068,964,10.36557467057102
3,3.0,"call, appointment, time, office, day, make, phone, week, back, schedule",231,0.021390869524956016,27,0.021827000808407437,204,0.021334448860071114,177,-2.2566176299704894
4,4.0,"service, people, place, bad, customer, prescription, pharmacy, rude, give, location",309,0.028613760533382722,32,0.025869037995149554,277,0.028968834971763228,245,11.982652687722235
5,5.0,"care, patient, staff, hospital, nurse, family, facility, home, stay, day",1676,0.15519955551439948,211,0.17057396928051738,1465,0.15321062539217736,1254,-10.179363217950996
6,6.0,"wait, hour, room, time, minute, back, check, walk, leave, long",841,0.07787758125752385,114,0.09215844785772029,727,0.0760301192219201,613,-17.500651335513012
7,7.0,"work, pain, year, treatment, life, back, therapist, session, body, month",1607,0.1488100750069451,165,0.1333872271624899,1442,0.15080527086383602,1277,13.058254580948569
8,8.0,"staff, great, recommend, good, highly, friendly, professional, nice, experience, love",434,0.04018890638022039,56,0.04527081649151172,378,0.03953147877013177,322,-12.677787073833919
9,9.0,"surgery, make, result, procedure, feel, eye, year, treatment, skin, good",1064,0.09852764144828224,130,0.10509296685529507,934,0.09767830997699226,804,-7.0553311988158285
