,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19
0,0.04120370370370371,0.0800925925925926,0.02268518518518519,0.04120370370370371,0.0800925925925926,0.06157407407407408,0.04027777777777779,0.07731481481481482,0.02453703703703704,0.030092592592592594,0.03935185185185186,0.14120370370370372,0.07638888888888891,0.03935185185185186,0.04768518518518519,0.03657407407407408,0.042129629629629635,0.02731481481481482,0.02453703703703704,0.026388888888888892
1,0.028409090909090908,0.08901515151515152,0.03345959595959596,0.05744949494949495,0.05366161616161616,0.08396464646464646,0.03598484848484849,0.034722222222222224,0.08143939393939394,0.04861111111111111,0.034722222222222224,0.03977272727272727,0.030934343434343436,0.03598484848484849,0.04482323232323232,0.049873737373737376,0.03977272727272727,0.032196969696969696,0.08522727272727272,0.05997474747474747
2,0.029468599033816423,0.04685990338164251,0.0323671497584541,0.049758454106280194,0.05555555555555555,0.10289855072463767,0.09710144927536232,0.026570048309178744,0.029468599033816423,0.02753623188405797,0.035265700483091786,0.04396135265700483,0.04106280193236715,0.04106280193236715,0.02463768115942029,0.04492753623188406,0.05652173913043478,0.08067632850241546,0.08164251207729468,0.052657004830917876
3,0.07319223985890654,0.03968253968253969,0.03968253968253969,0.041446208112874784,0.04320987654320988,0.057319223985890656,0.06437389770723105,0.04497354497354498,0.052028218694885366,0.06790123456790124,0.05555555555555556,0.07319223985890654,0.057319223985890656,0.03968253968253969,0.03968253968253969,0.03968253968253969,0.04320987654320988,0.046737213403880075,0.03968253968253969,0.041446208112874784
4,0.12152777777777778,0.03263888888888889,0.052083333333333336,0.03263888888888889,0.03263888888888889,0.052083333333333336,0.05486111111111111,0.05763888888888889,0.04375,0.05763888888888889,0.05347222222222222,0.04791666666666667,0.04375,0.052083333333333336,0.03125,0.07569444444444444,0.03680555555555556,0.03819444444444445,0.034027777777777775,0.049305555555555554
5,0.07049486461251167,0.04341736694677871,0.02661064425770308,0.028478057889822595,0.04715219421101774,0.10037348272642391,0.08169934640522876,0.05088702147525677,0.027544351073762838,0.046218487394957986,0.03688141923436041,0.11437908496732026,0.03034547152194211,0.03034547152194211,0.021942110177404293,0.03127917833800187,0.05742296918767507,0.05929038281979458,0.06489262371615313,0.03034547152194211
6,0.029738562091503266,0.026470588235294117,0.017320261437908498,0.030392156862745098,0.019934640522875816,0.08137254901960785,0.08071895424836602,0.03954248366013072,0.029738562091503266,0.03496732026143791,0.05522875816993464,0.09575163398692811,0.05392156862745098,0.1323529411764706,0.022549019607843137,0.09052287581699346,0.03758169934640523,0.05130718954248366,0.03300653594771242,0.03758169934640523
7,0.0426731078904992,0.036231884057971016,0.036231884057971016,0.03784219001610306,0.07004830917874397,0.04589371980676329,0.039452495974235106,0.03784219001610306,0.036231884057971016,0.06682769726247988,0.0748792270531401,0.11191626409017713,0.05233494363929147,0.03784219001610306,0.039452495974235106,0.03784219001610306,0.0571658615136876,0.05394524959742351,0.04911433172302738,0.036231884057971016
8,0.061342592592592594,0.045910493827160496,0.017361111111111112,0.07523148148148148,0.03279320987654321,0.045910493827160496,0.0628858024691358,0.02970679012345679,0.01890432098765432,0.03202160493827161,0.019675925925925927,0.18016975308641975,0.04976851851851852,0.028935185185185185,0.04128086419753087,0.018132716049382717,0.060570987654320986,0.11458333333333333,0.03819444444444445,0.02662037037037037
9,0.046182685753237904,0.013803680981595092,0.038684389911383774,0.04107021131561009,0.04959100204498978,0.07856169052488071,0.03289025221540559,0.27079072937968646,0.0270961145194274,0.019938650306748466,0.05402181322426721,0.014485344239945467,0.029481935923653717,0.024369461486025902,0.02334696659850034,0.023006134969325152,0.015167007498295842,0.019938650306748466,0.014826175869120654,0.16274710293115202
