,dominant_topic,topic_keywords,doc_count_all,doc_pct_all,doc_count_t1,doc_pct_t1,doc_count_t2,doc_pct_t2,doc_count_diff,doc_pct_diff
0,0.0,"test, covid, result, day, back, time, clinic, blood, work, lab",534,0.04944902305769053,30,0.024252223120452707,504,0.0527086383601757,474,117.33528550512446
1,1.0,"call, phone, day, speak, receive, answer, number, email, leave, back",481,0.04454116121863135,49,0.039611964430072755,432,0.04517883288015059,383,14.053502597441403
2,2.0,"people, bad, thing, leave, treat, give, talk, happen, run, guy",323,0.02991017686822854,43,0.034761519805982216,280,0.029282576866764276,237,-15.761517246075796
3,3.0,"appointment, office, time, make, schedule, week, visit, cancel, call, doctor",470,0.04352254838410964,30,0.024252223120452707,440,0.04601547793348672,410,89.73715401241024
4,4.0,"feel, place, face, skin, treatment, good, massage, start, facial, back",476,0.04407815538475785,132,0.10670978172999192,344,0.035975737293453255,212,-66.28637346060479
5,5.0,"insurance, pay, prescription, charge, money, pharmacy, company, month, bill, send",729,0.0675062505787573,63,0.05092966855295069,666,0.06965070069023217,603,36.75859802193205
6,6.0,"doctor, virus, symptom, care, sick, urgent, give, cough, bad, flu",637,0.058986943235484764,219,0.17704122877930478,418,0.04371470403681238,199,-75.30817858742607
7,7.0,"nurse, hospital, mom, home, mother, family, stay, care, facility, give",655,0.060653764237429394,78,0.06305578011317704,577,0.06034302447186781,499,-4.302152215768616
8,8.0,"wait, room, hour, minute, check, back, sit, time, walk, leave",627,0.058060931567737756,115,0.09296685529506872,512,0.05354528341351182,397,-42.403899493465985
9,9.0,"service, review, time, work, due, business, close, situation, offer, write",306,0.028335957033058617,17,0.0137429264349232,289,0.030223802551767414,272,119.92261033256644
10,10.0,"doctor, year, issue, visit, practice, medical, find, medication, health, problem",416,0.03852208537827577,50,0.04042037186742118,366,0.038276511190127586,316,-5.303911315624351
11,11.0,"rude, people, woman, person, place, lady, front, walk, make, hand",362,0.03352162237244189,71,0.05739692805173808,291,0.03043296381510144,220,-46.97806163481623
12,12.0,"surgery, question, procedure, eye, follow, make, time, explain, experience, day",403,0.037318270210204646,46,0.037186742118027485,357,0.03733528550512445,311,0.3994525431281471
13,13.0,"patient, care, staff, medical, facility, health, covid, provide, treat, concern",394,0.036484859709232334,35,0.028294260307194827,359,0.03754444676845848,324,32.692801864523254
14,14.0,"order, time, day, make, good, place, wife, find, work, thing",273,0.02528011852949347,48,0.038803556992724336,225,0.023530642125078435,177,-39.35957435682912
15,15.0,"mask, wear, store, employee, customer, line, people, glove, cvs, item",1105,0.102324289286045,73,0.05901374292643492,1032,0.10792721188035975,959,82.8848782137055
16,16.0,"staff, great, clean, friendly, nice, covid, check, helpful, safe, easy",885,0.08195203259561071,38,0.030719482619240096,847,0.08857979502196194,809,188.35054326886032
17,17.0,"time, make, baby, husband, experience, daughter, son, child, feel, give",442,0.040929715714418,31,0.025060630557801132,411,0.04298263961514327,380,71.51459743203944
18,18.0,"feel, care, good, make, amazing, experience, love, team, great, kind",623,0.05769052690063895,34,0.0274858528698464,589,0.06159799205187199,555,124.10798872989899
19,19.0,"pain, work, session, month, week, start, therapist, year, plan, body",658,0.060931567737753496,35,0.028294260307194827,623,0.06515373352855051,588,130.27190964233424
