,name_t1,count_t1,name_t2,count_t2,name_covid_t1,count_covid_t1,name_covid_t2,count_covid_t2,name_tele_t1,count_tele_t1,name_tele_t2,count_tele_t2,name_merge_t1,count_merge_t1,name_merge_t2,count_merge_t2
38,Psychiatrists,1151,Acupuncture,447,Gastroenterologist,12.0,Obstetricians & Gynecologists,80,Weight Loss Centers,1.0,Hospitals,8.0,,,Hospitals,4.0
39,IV Hydration,1120,Skilled Nursing,438,Waxing,12.0,Acupuncture,80,Cryotherapy,1.0,Naturopathic/Holistic,8.0,,,Traditional Chinese Medicine,4.0
40,Surgeons,1098,Home Health Care,434,Naturopathic/Holistic,11.0,Trainers,78,Plastic Surgeons,1.0,Obstetricians & Gynecologists,8.0,,,Boot Camps,4.0
41,Occupational Therapy,1064,Optometrists,434,Orthopedists,11.0,Prenatal/Perinatal Care,77,Saunas,1.0,Laser Eye Surgery/Lasik,7.0,,,Body Contouring,4.0
42,Emergency Rooms,1007,Drugstores,426,Radiologists,11.0,Fertility,72,General Dentistry,1.0,Orthopedists,7.0,,,Sleep Specialists,4.0
43,Ear Nose & Throat,976,Trainers,413,Acupuncture,11.0,Plastic Surgeons,71,Optometrists,1.0,Surgeons,7.0,,,Audiologist,3.0
44,Body Contouring,949,Psychiatrists,412,Counseling & Mental Health,11.0,Laboratory Testing,68,Animal Assisted Therapy,1.0,Chiropractors,7.0,,,Addiction Medicine,3.0
45,Trainers,833,Personal Care Services,404,Chiropractors,10.0,Speech Therapists,67,Occupational Therapy,1.0,Midwives,6.0,,,Neurologist,3.0
46,Fertility,820,Hospitals,403,Occupational Therapy,10.0,Body Contouring,67,Body Contouring,1.0,Parenting Classes,6.0,,,Laser Hair Removal,3.0
47,Grocery,817,Naturopathic/Holistic,373,Skilled Nursing,9.0,Lactation Services,66,Doulas,1.0,IV Hydration,6.0,,,Cosmetic Surgeons,3.0
48,Day Spas,802,Lactation Services,355,Cryotherapy,9.0,Sleep Specialists,64,Hospice,1.0,Laboratory Testing,6.0,,,IV Hydration,3.0
49,Radiologists,801,Ultrasound Imaging Centers,352,Emergency Medicine,8.0,Personal Care Services,64,Allergists,1.0,Laser Hair Removal,6.0,,,Dentists,3.0
50,Gastroenterologist,745,Sleep Specialists,335,Pain Management,8.0,Psychiatrists,62,Tattoo Removal,1.0,Traditional Chinese Medicine,6.0,,,Laser Eye Surgery/Lasik,3.0
51,Allergists,731,Childbirth Education,312,Psychiatrists,7.0,Chiropractors,62,Laser Eye Surgery/Lasik,1.0,Boot Camps,6.0,,,Hepatologists,2.0
52,Sleep Specialists,655,Life Coach,310,Cardiologists,7.0,Allergists,60,Convenience Stores,1.0,Doctors,5.0,,,Drugstores,2.0
53,Neurologist,652,Allergists,309,Podiatrists,6.0,Dermatologists,60,Parenting Classes,1.0,Urologists,4.0,,,Mohels,2.0
54,Cardiologists,589,Health Coach,303,Speech Therapists,6.0,Massage,55,Pilates,1.0,Dietitians,4.0,,,Aestheticians,2.0
55,Skilled Nursing,575,Addiction Medicine,300,Diagnostic Services,6.0,Naturopathic/Holistic,52,Lactation Services,1.0,Gyms,4.0,,,Urologists,2.0
56,Naturopathic/Holistic,569,Midwives,282,Neurologist,6.0,Grocery,44,Cosmetic Dentists,1.0,Eyewear & Opticians,4.0,,,Herbal Shops,2.0
57,Waxing,554,Massage,277,Trainers,6.0,Assisted Living Facilities,43,Chiropractors,1.0,Rheumatologists,4.0,,,Dermatologists,2.0
58,Lactation Services,521,Laboratory Testing,269,Gas Stations,5.0,Gas Stations,41,Acupuncture,1.0,Endocrinologists,4.0,,,Acne Treatment,2.0
59,Speech Therapists,511,Traditional Chinese Medicine,256,Aestheticians,5.0,Bakeries,40,Orthopedists,1.0,Cardiologists,4.0,,,Endocrinologists,2.0
60,Ultrasound Imaging Centers,507,Speech Therapists,254,Endocrinologists,4.0,Doulas,39,Childbirth Education,1.0,Community Service/Non-Profit,4.0,,,Home Health Care,2.0
61,Psychologists,488,Orthotics,229,Acne Treatment,4.0,Cardiologists,38,Sleep Specialists,1.0,Diagnostic Services,4.0,,,Orthotics,2.0
62,Urologists,465,Tattoo Removal,199,Allergists,4.0,Pilates,37,Oral Surgeons,1.0,Spine Surgeons,3.0,,,Surgeons,2.0
63,Reflexology,464,Waxing,196,Plastic Surgeons,4.0,Medical Supplies,36,Insurance,1.0,Neurologist,3.0,,,Astrologers,2.0
