,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.03293917845951996,0.032107636985168934,0.03308696648308294,3.05014504295776
Topic_1,0.039618448151303456,0.035086931137396325,0.04042382462846574,15.210488116417947
Topic_2,0.05396770121575327,0.05462266536496201,0.05385129588889727,-1.4121783895216928
Topic_3,0.06933848866282089,0.07135036158478833,0.06898092294665566,-3.3208502178604653
Topic_4,0.04606353817699432,0.047297804173389024,0.045844174816555235,-3.073354846463759
Topic_5,0.05457951625678515,0.05697578039918775,0.054153633540812686,-4.953239496856977
Topic_6,0.05121579557027382,0.047977082043554636,0.05179140494847591,7.950301982639433
Topic_7,0.046446116957225905,0.05016568019309701,0.04578504722576632,-8.732330450756018
Topic_8,0.04720405854540126,0.0501880782758155,0.046673715331221874,-7.002385955644605
Topic_9,0.06557510255371124,0.0734347124262139,0.06417823150775455,-12.605048229418916
Topic_10,0.04577026329557552,0.044682659751810766,0.0459635606633087,2.8666621875525786
Topic_11,0.04026422991189558,0.036330168554692115,0.04096342191913767,12.75318433348463
Topic_12,0.0416937735834855,0.0389252469997835,0.04218581767822672,8.376493226777342
Topic_13,0.05944108372366903,0.05508024016357281,0.06021612678609341,9.324372238153753
Topic_14,0.05535776525993107,0.05715944636257095,0.05503755647003555,-3.712229609566082
Topic_15,0.049644866409826335,0.049273557262533255,0.04971085836176368,0.8874965062912955
Topic_16,0.04807083776786605,0.04560038065935732,0.04850990663529502,6.3804861579388135
Topic_17,0.06923347317840622,0.07161874126097774,0.0688095447677804,-3.9224320949186606
Topic_18,0.051083649894399626,0.05182940423515072,0.05095110862798945,-1.6945894326248367
Topic_19,0.03249211242515602,0.030293422165977336,0.032882880772681575,8.547923679657657
