,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.10054750469139875,0.10403725470253046,0.0946470850852383,-9.025776049301857
Topic_1,0.09889765633137648,0.09599522386322878,0.10380504780239468,8.135638029547284
Topic_2,0.09957368520515543,0.0986661095565514,0.1011082011830948,2.4751068401492877
Topic_3,0.09899746029606316,0.0992131929105267,0.09863270266471263,-0.5850938053546662
Topic_4,0.0995527313409373,0.09975743846786629,0.0992066154468474,-0.5521623544857932
Topic_5,0.0995184517295465,0.09900739808515298,0.10038253395135566,1.3889223359046057
Topic_6,0.09900870538480212,0.09873446480521883,0.09947238745011222,0.7473810146731925
Topic_7,0.10391898180879537,0.10619926055856274,0.10006351898202737,-5.77757466884797
Topic_8,0.09947960572408866,0.09802958163408848,0.10193128579937913,3.980129365291387
Topic_9,0.10050521748783499,0.10036007541627144,0.1007506216348374,0.38914500307623623
