,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
81550,97oIqu_N8NZN5gb4AtE7YA,4G_6mqB1eKhes41Scj3TLA,5,"cortina has such a beautiful energy. as a therapist, she's encouraging and supportive while e helping to push you towards change. she has the gift of blending spiritual wisdom with counseling  knowledge that really leads to healing. i love how she uses adversity to move her forward in her own life and is able to help clients do the same.

the office is in a great location in the heart of winter park and has a dedicated parking lot. she sees clients through an appointment only basis. i know she also offers discounted rates for package purchases of sessions but otherwise has a pretty standard self-pay rate. i believe she does telehealth and of course in person sessions. she has an online portal too so clients can do scheduling and  paperwork all online (but has paper copies if the old school approach is more comfy). 

ps! she has a book! so if you're interested in checking her out before you schedule it might be worth it to grab a copy and hear from her through her writing.",Cristina A.,2020-02-04,https://www.yelp.com/biz/boundless-living-aloma-2?adjust_creative=upenn&hrid=4G_6mqB1eKhes41Scj3TLA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Boundless Living,False,1,5.0,2020-06-05T23:07:31,15613155939.0,https://www.iamcortinapeters.com,https://www.yelp.com/biz/boundless-living-aloma-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2431 Aloma Ave Ste 236,Aloma,FL,US,32792.0,,,Life Coach,Counseling & Mental Health,Business Consulting,,,
139862,FM4lptFTfusByl0ZxdWO-g,3i7qX7vC84wt89rhfIWvcw,1,"recently had cosmetic surgery. i was only looking to get a (bbl) brazilian butt lift with fat transfer.  i'm a very petite woman already (108lbs) just never had a butt. dr. mowlavi talked me into doing all this other stuff like a mini tummy tuck for loose skin,  i didn't have a lot of loose skin and  have pictures to prove it.  he said it would be the size of a c-section scar 4-6 inches.  i woke up to an incision from hip to hip.  his office said recovery is quicker with his vaser lipo and renuvion techniques. this is by far the worst pain and recovery ever. i would never recommend this for anyone! they didn't have much to do with me after they got my money ($25k not including stay and airfare and 3days extra for a nurse because i couldn't get in and out of bed. for total of 30k)
i went in everyday for first week for massages.  dr. mowlavi only saw me the day after surgery for 2 mins to look at his work.  i tried to set up a post op a week after because i was very unhappy with results.  he knew of my disappointment because my massage therapist told him.  he didn't come to the office for our appointment time.  so i rescheduled for the next day at 3pm for video chat.  again 3pm came and no dr.  we called his office several times and they said he was with other consultations and would call me. we waited until 5:30pm dr never called in, and then the office was closed.  i was beyond furious this is 2 appt he's missed and not a single call from anyone in the office to reschedule or anything.  so i called claudia and she acted like he'd get back to me and she'd be in it first thing.  she's a huge liar,  she's never had this surgery done and tells all the new clients how you could hop on a plane in a week no problem.  so instead the next day i got an email from their assistant mimi with my before and after video and said if i had any questions to email them. that was last week on feb 4th. i have yet to have a post op appt or even a scheduled appt with dr.  he doesn't care and has completely disregarded me as a patient. now i'm still in tons of pain,  my swelling will not subside and i have to go to drs to have my stomach drained of the fluid because it's moving like a waterbed which is called a seroma. it's been a nightmare.  his office has done nothing but lie and avoid me. i was told he does this with all his patients.  i'm still laid up in bed and i have children and a job i can't do.  
here is a pic of my supposed small c-section scar i have to live with. 
 pay attention and do not sign the arbitration agreement clause.  you legally don't have too!
notice that dr. mowlavi never post before and healed after results.",Toni Arken T.,2020-02-11,https://www.yelp.com/biz/arian-mowlavi-md-the-cosmetic-plastic-surgery-institute-laguna-beach-2?adjust_creative=upenn&hrid=3i7qX7vC84wt89rhfIWvcw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,"Arian Mowlavi, MD - The Cosmetic Plastic Surgery Institute",False,110,4.0,2020-04-26T11:13:22,19495583230.0,https://drlaguna.com,https://www.yelp.com/biz/arian-mowlavi-md-the-cosmetic-plastic-surgery-institute-laguna-beach-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,32406 Coast Hwy,Laguna Beach,CA,US,92651.0,,,Cosmetic Surgeons,Dermatologists,Medical Spas,,,
233556,zELmjXDjhtvdb6pCfzOB3w,AUcHdu-Fqesuy0aivPzIrA,5,"i came to innovative express care because my primary was moving here. i feel like it is very important to write honest reviews, especially when it comes to your health. i have been unfortunate enough to experience some not so great healthcare, and it has made me very much appreciate how attentive and caring innovative express care is. i see jenna benoit, pa-c, for primary care and have been seeing her for many years. i am really happy that jenna decided to move here because it feels like it runs on an integrated care model. they are expanding to offer wellness through ketamine infusion, cbd oil, among others. they also have an innovative med spa which i also think is great. the way they've branched out is impressed and i enjoy that they keep the same type of model. their patient portal is very easy to use and tracks your health in one setting. i am able to easily send messages and ask about prescriptions. they also have telemedicine which is helpful for when i don't need to come in/am busy. they have social workers here, too, so you can receive therapy. again, definitely feels like an integrated healthcare model being used. 

aside from going here for my primary care, i have gone to their urgent care on several occasions. my primary is kind, caring, and patient with me; she knows me well but doesn't get annoyed when i reach out, make requests, or send her many messages. as a person with anxiety, this is special to met because it helps me feel at ease. i've had the opportunity to receive care from jayme, michelle, and lindsay (all pas) in the past when i had to come in for urgent care and they were all really wonderful and kind. kindness goes a long way and it extends to their nurses who've always said hi to me and made me feel welcomed and comfortable. there was a period of time where i had to come in a few times a week or once a week and everyone from the nurses to the receptionists have always been welcoming. i definitely appreciate innovative express care and their staff; i encourage everyone to come here! be mindful that if you're coming for urgent care, you're definitely going to have to wait. it's just how it is, but i've never waited for urgent care more than 15-20 minutes; make an appointment online ahead of time is the best suggestion!",Cass K.,2020-01-10,https://www.yelp.com/biz/innovative-express-care-chicago?adjust_creative=upenn&hrid=AUcHdu-Fqesuy0aivPzIrA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Innovative Express Care,False,254,4.0,2020-06-06T05:44:17,17732705600.0,https://www.innovativeexpresscare.com,https://www.yelp.com/biz/innovative-express-care-chicago?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2400 N Ashland Ave,Chicago,IL,US,60614.0,,,Urgent Care,Internal Medicine,Family Practice,,,
254423,vzeeC-BpVHHPQKtQafqbhA,YF67e_dNwUtlBbZPo5Evpw,1,"i went to see someone here for an annual check-up. i had called my insurance before to confirm it would be compensated as part of my plan. they confirmed it. zoom billed it inaccurately, and i've had to pay out of pocket. i was told i would receive a refund which i have not seen. they then ignored my several emails to adjust it. i then wasted half a dozen calls with their useless billing department, nichole, who didn't adjust anything. do not come here unless you want to be billed inaccurately and have to follow-up needlessly. go anywhere else.",Lida T.,2020-02-28,https://www.yelp.com/biz/zoom-care-bellevue-bellevue?adjust_creative=upenn&hrid=YF67e_dNwUtlBbZPo5Evpw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,ZOOM+Care Bellevue,False,24,3.5,2020-05-17T23:15:02,15036848252.0,https://www.zoomcare.com,https://www.yelp.com/biz/zoom-care-bellevue-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,10425 NE 8th St Ste 4,Bellevue,WA,US,98004.0,47.617275,-122.2008685,Urgent Care,Family Practice,,,,
270428,pwPeD5AOZ9XUcco7r7lSWg,KGxYVFnssntcFe8YlNbueg,1,"two hour wait and then they offered a virtual doctor on zoom at the end.  for that, just let me take it from home and zoom right???  it better cost less.   and i can just chill from the house.   i've been waiting 2 hours and still have not been seen.  same with another lady in here and she blew up.  they tried to charge for her waiting 2 hours and wanting to reschedule.  she never even talked to a doctor!!!!    i asked how many doctors on staff - only one.   and they were busy taking patients and appointments.  wtf.  

all business poor customer patient sat.   i'm out man.",Isaac L.,2020-02-21,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&hrid=KGxYVFnssntcFe8YlNbueg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Action Urgent Care,False,331,3.0,2020-06-03T17:07:24,14086457073.0,http://actionurgentcare.com/,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1375 Blossom Hill Rd,San Jose,CA,US,95118.0,,,Urgent Care,Family Practice,,,,
270441,pwPeD5AOZ9XUcco7r7lSWg,-m-eJT1HBH8h6v3UbIkC0Q,1,"i set up an appointment online for a skin reaction. when i got to the office i was surprised 1) that i would be attended to by a nurse practitioner rather than a doctor 2) that the visit would be performed via video conference.

i would never have gone in for a skin reaction had the provider been transparent that the visit were be to performed via video conference.

in short, the combination of the video conference and poor bedside manner from the nurse practitioner led to misdiagnoses for which i had to follow up with another care provider for secondary issues caused by the misdiagnoses.

i pursued review of my case, and the customer experience was abysmal. weeks for email responses, promises for phone calls, and unable to provide any documentation of the investigation that was said to have happened internally, or, at the very least, an apology. i would highly advise against this care provider and intend to pursue legal action against them.",Ky K.,2020-01-11,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&hrid=-m-eJT1HBH8h6v3UbIkC0Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Action Urgent Care,False,331,3.0,2020-06-03T17:07:24,14086457073.0,http://actionurgentcare.com/,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1375 Blossom Hill Rd,San Jose,CA,US,95118.0,,,Urgent Care,Family Practice,,,,
270466,pwPeD5AOZ9XUcco7r7lSWg,sHcfwyv7RtxQ86qQtSs6JA,1,"wish i had read these reviews before going there..
my eyes were itching and i presumed i was having a skin reaction so i went here two weeks ago before a business meeting..
they were incredibly slow and could not get their internet to take my insurance card..
finally they set up a zoom meeting with the 'doctor' and turns out it was a pa who looked and acted like she was 12..
i repeatedly tried to explain that it was the skin under my eyes that was itching but they still insisted on making me take a worthless eye exam..
i left with a prescription for ocular antihistamine drops and antibiotics that did absolutely nothing to help me..
i finally went next door and purchased otc topical anti-itch medication and bacitracin which at least helped a little but decided i would never be going back..
the kicker is that i just received a bill for $179 which was charged to my credit card.. dont even think of going here if you are sick!",Selena C.,2020-01-27,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&hrid=sHcfwyv7RtxQ86qQtSs6JA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Action Urgent Care,False,331,3.0,2020-06-03T17:07:24,14086457073.0,http://actionurgentcare.com/,https://www.yelp.com/biz/action-urgent-care-san-jose?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1375 Blossom Hill Rd,San Jose,CA,US,95118.0,,,Urgent Care,Family Practice,,,,
408680,BJXd6_qpmifBt7On3RnA_w,s_VC5dwETYROGxzqC5s0fA,5,"just had another great visit at zoom care. from the front desk staff to the awesome doctor amy theppote, dpm, it was another seamless visit. although we certainly don't want to have to visit, when we are in need of care, especially quick, convenient, this is our place to go. dr amy was wonderful with our son who broke his toe. we really appreciated her kindness and knowledge. she is fantastic!  so awesome to have a doctor of podiatry at zoom care!",Marci D.,2020-01-27,https://www.yelp.com/biz/zoom-care-scholls-ferry-beaverton?adjust_creative=upenn&hrid=s_VC5dwETYROGxzqC5s0fA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,ZOOM+Care Scholls Ferry,False,29,4.0,2020-01-27T16:11:24,15036848252.0,http://www.zoomcare.com,https://www.yelp.com/biz/zoom-care-scholls-ferry-beaverton?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,11355 SW Scholls Ferry Rd,Beaverton,OR,US,97008.0,,,Family Practice,Urgent Care,Orthopedists,,,
458615,SxcXbSRo_1UoQCVJaIATQw,eAduW3OOmpmIi3t55yMeug,5,"very blessed by the care and attention i have received at caduceus. afraid that i may be contagious with the flu, the virtual visit with the urgent care confirmed my fears and they called in the medication i needed.  cannot stress this enough, this years's flu is extremely painful and getting the medication needed asap is important. so thankful to shital patel np & tanya lizarde mvp for the compassionate care!",Natalie P.,2020-01-11,https://www.yelp.com/biz/caduceus-medical-group-laguna-beach?adjust_creative=upenn&hrid=eAduW3OOmpmIi3t55yMeug&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Caduceus Medical Group,False,136,3.5,2020-05-25T22:04:17,19494990577.0,http://www.caduceusmedicalgroup.com,https://www.yelp.com/biz/caduceus-medical-group-laguna-beach?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,333 Thalia St,Laguna Beach,CA,US,92651.0,33.5365648,-117.777176,Family Practice,Urgent Care,Diagnostic Services,,,
519270,JocBhEOhTbLGNk4eIS_YVg,sVZA9cNr88lDowxJJprUDg,5,"my doctor was dr. kulak. we had a great experience because of him. he answered all questions and provided information clearly, whether in office, email or through video conference. even after we got pregnant and switched to a regular ob gyn he was willing to support me. the staff at genesis were kind and friendly which you need for those 630 am blood withdrawal",Emily R.,2020-01-14,https://www.yelp.com/biz/genesis-fertility-and-reproductive-medicine-brooklyn-2?adjust_creative=upenn&hrid=sVZA9cNr88lDowxJJprUDg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Genesis Fertility & Reproductive Medicine,False,18,2.5,2020-01-28T18:45:29,17182838600.0,https://www.genesisfertility.com,https://www.yelp.com/biz/genesis-fertility-and-reproductive-medicine-brooklyn-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6010 Bay Pkwy Ste 501,Brooklyn,NY,US,11204.0,,,Obstetricians & Gynecologists,,,,,
