,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
5274,cEzOc0hbnb40DpS7wfzf_A,vQ7jm8w-0hkzcgf0Hs3j0g,1,the doctor that owns this er should not have a license. i am reporting him to the board for investigation. if you want to get the flu (or corona in a few weeks once it spreads) go here! he doesn't wash his hands or stethoscope in between patients. he doesn't care about quality purely quantity. i watched him have the utter nerve to walk back and forth from his primary care clinic next door to see patients at the free standing er all while he had 15 plus patients in the waiting room to see him. it was my first and last visit after waiting 2 hours to see him. he put his dirty hands all over my face and stomach but then only listened to my left upper lobes....he didnt even listen to my lower lobes at all and i was there with a cough! luckily i'm a nurse with years of experience and knew this guy has no idea what he is doing. all he cares about is money and seeing patients as fast as possible. i'm probably going to get a secondary virus just from his dirty hands. learn to wash between patients dr oloyo!!!,Tara H.,2020-03-07,https://www.yelp.com/biz/south-texas-medical-associates-corpus-christi-2?adjust_creative=upenn&hrid=vQ7jm8w-0hkzcgf0Hs3j0g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,South Texas Medical Associates,False,3,2.5,2020-04-20T05:38:36,13614330186.0,http://www.stmacorpuschristi.com,https://www.yelp.com/biz/south-texas-medical-associates-corpus-christi-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6809 Everhart Rd,Corpus Christi,TX,US,78413.0,,,Family Practice,Internal Medicine,,,,
5275,cEzOc0hbnb40DpS7wfzf_A,xQolFHVAq7lHsLAaZhY6ig,1,"my wife went to dr oloyo for weight loss/nausea and a cough and got the worst care i've ever witnessed. he also put his dirty hands...didn't wash between patients, used dirty stethoscope....all over her face for no reason. he also looked on the front of her stomach for her nephrostomy tube hole-a dr that doesn't know this is on the back should not be in business! she had to spell out then write down how to even spell nephrostomy to the nurse. we waited two hours to be seen and he didn't listen to her at all, kept cutting her off. he only cares about money. glad she is reporting him for negligence. his er and primary care clinic need to be investigated. i think he is committing fraud. i also think this is a great place to go if you want the flu or corona virus soon since he doesn't wear gloves or wash hands between patients!",Dustin B.,2020-03-07,https://www.yelp.com/biz/south-texas-medical-associates-corpus-christi-2?adjust_creative=upenn&hrid=xQolFHVAq7lHsLAaZhY6ig&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,South Texas Medical Associates,False,3,2.5,2020-04-20T05:38:36,13614330186.0,http://www.stmacorpuschristi.com,https://www.yelp.com/biz/south-texas-medical-associates-corpus-christi-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6809 Everhart Rd,Corpus Christi,TX,US,78413.0,,,Family Practice,Internal Medicine,,,,
8734,hyyjkZMTcGU6NCU4930g8g,emCzpBGfj5hxhCex0c4L2w,5,"i visited total glow last week on tuesday and let me tell you, i had one of the best spa experiences to date. i received a facial for my acne and not only was it an enjoyable and relaxing time, but my acne has actually started to clear up. svetlana provided a relaxing service while educating me on the products that i should be using at home so that i can keep my skin feeling clean and moisturized. the room that i was taken into was relaxing and the ambiance took me to another world, making me feel less anxious and tense. she cleansed my face, removed bacteria and dirt, used light therapy, and applied a gentle face mask. i left feeling relaxed and my skin as soft as ever. i picked up a few products to start a great skincare routine and my face has continued to clear up. loved svetlana and i will definitely be back again!",Marisa P.,2020-02-13,https://www.yelp.com/biz/total-glow-menlo-park-7?adjust_creative=upenn&hrid=emCzpBGfj5hxhCex0c4L2w&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Total Glow,False,84,5.0,2020-06-05T11:28:53,16504091200.0,http://totalglow.com,https://www.yelp.com/biz/total-glow-menlo-park-7?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1906 El Camino Real Ste 102,Menlo Park,CA,US,94027.0,,,Skin Care,Medical Spas,Body Contouring,,,
18349,mhx5cYQoWHkVUsddqQeuIw,4RM9dwiCeKarepfLcqEArw,1,"husband and i went here yesterday because my husband been having typical cold symptoms. however, he's been coughing for more than 10 days and he coughed up blood yesterday's morning. that's why we decided to go in. there was no wait and it was a friday morning. we were brought back to an exam room quickly. the doctor took 25 mins to come see us and as soon as she came in, we knew she would be no help. she checked my husband's breathing, his ears, and his throat. she was saying my husband had caught the virus that's been going around and should be feeling better in 4-5 days. he's been sick for a week and a half, if the virus was what he have he should have been better last week. she pretty much sent us home after that and told my husband to drink plenty of water and rest. no medication was prescribed even though we said his throat was killing him when he coughs and swallows. he's not the type to complain and when he does, i take him very seriously. we decided to go to sutter er, because he knew that doctor from this place did not  care about his well being. as soon as the nurse practitioner saw my husbands throat, she said it is most likely strep throat. it literally took her 1 second. she ordered a chest x-ray and swabbed my husband's throat. they also got him medicines to take while waiting for the result. they were shocked to hear what the doctor from this place had said about his condition. ""more water? really? that's all she told you?"" so i suggest don't ever come here, we regret not reading reviews first before we decided to come in yesterday morning.",Phuong L.,2020-02-01,https://www.yelp.com/biz/mdstat-urgent-care-sacramento-3?adjust_creative=upenn&hrid=4RM9dwiCeKarepfLcqEArw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,MDSTAT Urgent Care,False,160,3.0,2020-03-30T14:19:40,19166785280.0,http://mdstaturgentcare.com,https://www.yelp.com/biz/mdstat-urgent-care-sacramento-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,391 Howe Ave,Sacramento,CA,US,95825.0,,,Urgent Care,,,,,
18603,oiAuSrM7Bs771Rh4eumIzA,ejF8ypLCuECTjSZYnfjNAQ,5,"this is a great place to have yourself tested for allergies as well as given allergy shots. the place is clean and the staff are very friendly and courteous as well as professional. the doctors are also friendly and professional. 
so far, and i have been going there for quite some time, my insurance seems to pay for 99% of the cost which also includes the re-ordering the vials that contain the anti-allergens. 
i read a review where someone ended up paying quite a bid of money for the service. i guess one should inquire as to the cost of the service even if you do have insurance.",Bruce M.,2020-01-22,https://www.yelp.com/biz/adult-and-pediatric-allergy-associates-scottsdale-2?adjust_creative=upenn&hrid=ejF8ypLCuECTjSZYnfjNAQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Adult & Pediatric Allergy Associates,False,2,3.5,2020-01-22T02:47:32,16022424592.0,http://allergyarizona.net,https://www.yelp.com/biz/adult-and-pediatric-allergy-associates-scottsdale-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,4921 E Bell Rd Ste 202,Scottsdale,AZ,US,85254.0,33.6402322192595,-111.974324717859,Allergists,Pediatricians,,,,
18950,syK0oNQrB8SZwDWZ9_YggQ,SZ3qXQwmObdkrF2k9YYcZQ,2,"mental health has some great staff (some not so great bordering negligent).  there's not much anyone can help with when they can only see you every couple weeks at the earliest...you'll be lucky if you get in one time a month.  that's 45 minutes of treatment for pretty significant complex chronic health conditions.  there's no ""thrive"" to be found here...its more like ""dont die"".  the staff is chronically on strike because the work conditions are horrendous.  mental health workers are typically compassionate people and it must eat at their core to see their patients treated so poorly and actually getting more sick while under their care.

another tip:  kaiser outsources all of their inpatient programs.  if admitted you and the uninsured of alamada county & contra costa will go to the same place and receive the same treatment.

https://www.npr.org/2019/12/16/788620859/california-kaiser-mental-health-workers-launch-strike-problems-keep-getting-wors",Ms. H.,2020-01-10,https://www.yelp.com/biz/kaiser-permanente-walnut-creek-medical-center-walnut-creek-6?adjust_creative=upenn&hrid=SZ3qXQwmObdkrF2k9YYcZQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Walnut Creek Medical Center,False,28,2.0,2020-02-22T15:20:37,19252954145.0,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,https://www.yelp.com/biz/kaiser-permanente-walnut-creek-medical-center-walnut-creek-6?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,710 S Broadway Ste 209,Walnut Creek,CA,US,94596.0,,,Hospitals,,,,,
24403,7hZrxhlcxmD-0g3rSbPIbQ,NEkum6A9q0_-c2UZ-Yj2bA,1,"i had to take my daughter to the emergency room for a sprained ankle a few nights ago. i was there 7 hours and the treatment there was just not a good experience. most of the staff were nice but the procedures and protocol need help. first, in the midst of flu season i arrive to a room mostly full of people coughing and wearing masks. but when i asked for a mask they told me they were out of them. so i had to sit exposed for 7 hours trying to keep myself away from the coughs.

then no one helped with the wheel chair throughout the entire stay.  additionally i have never seen a hospital run in this fashion where patients are treated in front of everyone in a seperate waiting room. it felt to me like an invasion of their privacy and fight almost broke out in that room as well.",Russell L.,2020-02-13,https://www.yelp.com/biz/antelope-valley-hospital-lancaster?adjust_creative=upenn&hrid=NEkum6A9q0_-c2UZ-Yj2bA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Antelope Valley Hospital,False,191,2.0,2020-06-06T06:56:14,16619495000.0,http://www.avhospital.org,https://www.yelp.com/biz/antelope-valley-hospital-lancaster?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1600 W Ave J,Lancaster,CA,US,93534.0,,,Hospitals,,,,,
38342,yR20PHrJjDPRx6baHEgaIg,od4o9Q99AIZYvbENlSdtRQ,1,"dr mathur is my daughter's pediatrician, she ordered blood works to be done which is right across her office. but first we had to check in with this nasty ugly front desk b*tch. it's been over a year and they still haven't gotten any better. 

it's the flu season and with the whole coronavirus situation, we showed up with face masks. but we didn't have any kids size masks and dr mathurs staff actually gave us one during our visit, my daughter dropped it by accident so we went to the front desk and ask for one. the lady asked if my baby has any flu like symptoms and i said no just for precautions. with her sh*t face acting like we were there to steal, she said it's only for anyone who has a flu. ok, i understand so i said thanks and went back to our seats. 

this ugly lowlife is clearly against us asians with face masks. because when the nurse called my daughter, me and my mom got up to head over. the ugly nasty lowlife dare to yelled at my mom to not come along. she yelled not once, not twice but three times. my mom doesn't speak english, by the time i turned around bitch got up from her seat and screamed so loud the whole lobby and surrounding office staff and patients looked over. her reason was theres no space for my mom. bitch there's an other person also in the lab, and her family is standing right by the door! if they can stand there, why can't my mom stand right outside just like other patients families. 

i just wanted to tell her to go to hell if my daughter weren't there with us. how can anyone so  be still living in this society. 

the whole check-in experience was terrible from start to finish. fire her already.",Jo H.,2020-02-29,https://www.yelp.com/biz/st-jude-heritage-medical-group-diamond-bar?adjust_creative=upenn&hrid=od4o9Q99AIZYvbENlSdtRQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St Jude Heritage Medical Group,False,50,3.0,2020-02-29T14:03:29,19098601144.0,http://www.sjhmg.com/,https://www.yelp.com/biz/st-jude-heritage-medical-group-diamond-bar?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1514 Valley Vista Dr,Diamond Bar,CA,US,91765.0,,,Hospitals,,,,,
42825,XUfrDfSyVNSqGg8FufCWAA,H2wL36mWjSYhzQOB-tm9rw,5,"i highly recommend dr. goldman. early this year (2020), he performed cataract surgery on both my eyes. the experience was pleasant and with excellent results. for 70 years my driver's license restricted me to driving only with corrective lenses. (yes, i'm 85.). i had substantial correction for astigmatism and nearsightedness. i now have 20/30 vision in one 20/25 in the other. i passed the eye exam at mvd and no longer have a restricted license. i will get a prescription for 20/20 vision in both eyes and for reading, but i may never buy glasses. so far, i see up close and my computer using $20 readers from walgreens. 

i was terrified at the prospect of eye surgery. fifteen months earlier, i canceled cataract surgery at the last minute.  dr. g patiently and with graciousness allowed me to try again. he and his staff had to work me up once again. they were very professional in doing so; they didn't give me a hard time, though i felt they had every right to do so. 

surgery took place at a beautiful new facility just east of pima road and north of via de ventura.  the staff there is different from dr. g's office staff and care for the patients of several doctors. nonetheless, i was made to feel as if they were dr. g's exclusive staff. 

i was guided to a bed separated from other beds by a curtain. a nurse prepped me by installing a port (hope that's correct because my memory of what happens next begins to grow dim due to partial retrograde amnesia - like having a colonoscopy where you're awake but later don't remember being awake). 

i didn't have to change into hospital garb; i even kept my shoes on. they had me lie on a freshly made gurney (not a hospital bed) and gave me a light blanket. i remember meeting the anesthesiologist, who was kind and comforting as i confessed my terror. my next memory is dr. g taping a cup-like device over my eye. he was all done!!  wtf?

i have absolutely no recollection of the surgery.  if asked. i will say i was out; however, dr. g insists i was conscious and talking during the procedure. just like during a colonoscopy.  it was like magic. if i was anxious during the procedure, i have no recollection of it. i assure you i was anything but brave going into it. years ago, my sister told me that when she had cataract surgery she was so far in nana land she felt no anxiety. that helped me. but what assuaged my fear the most was dr. g's competence (he'd been my doctor for several years), the attendant staff and the clean surroundings.

having survived the first surgery, i returned for the second two weeks later - this time without the anxiety of the first. 

i'm not a rookie to surgery. i've had six coronary by-passes, eight coronary stents, a pacemaker, back surgery and surgery for testicular cancer. i was more apprehensive about this procedure than any of the others. there's something about the eyes that scares the you-know-what out of me.  

fear not, however. if you choose dr. g, you'll be in excellent hands. better than a tranquilizer.",Stephen D.,2020-03-11,https://www.yelp.com/biz/goldman-james-m-md-scottsdale?adjust_creative=upenn&hrid=H2wL36mWjSYhzQOB-tm9rw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,"Goldman James M, MD",False,3,5.0,2020-03-11T16:02:55,14809945012.0,http://www.arizonaeyes.net,https://www.yelp.com/biz/goldman-james-m-md-scottsdale?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,7245 E Osborn Rd Ste 4 Arizona Eye Specialists,Scottsdale,AZ,US,85251.0,,,Ophthalmologists,,,,,
47292,BSYKbWOr7TLGxQ1knJ6efg,gFU5BCtZhRlzBNRxS8D5gg,3,"so now we have yet another virus that's cause chaos for tp, wipes, sanitizers etc... we've been through hand and foot disease, sars, avian, swine (h1n1), etc... and i don't recall people going all out loco sanitizing back then like they are now. 

anyhoo, this vons was stocked with more than enough toilet paper, lysol spray, bathroom cleaners with clorox, clorox, facial tissues. the only thing missing was the big ass tubs of wipes. 

i don't have a large enough space in my apartment to hoard mounds of toilet paper, this is not diarrheavirus, smh. 

props to the staff who are keeping it together when everybody else is wildin' out for tp.",Lady A.,2020-03-12,https://www.yelp.com/biz/vons-long-beach?adjust_creative=upenn&hrid=gFU5BCtZhRlzBNRxS8D5gg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Vons,False,279,2.5,2020-06-06T19:52:25,15624911210.0,http://www.vons.com,https://www.yelp.com/biz/vons-long-beach?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,600 E Broadway,Long Beach,CA,US,90802.0,,,Grocery,Pharmacy,,,,
