,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.04998959159519948,0.04929318911654195,0.05114742811644478,3.7616535532300897
Topic_1,0.04874800155522855,0.04825693754467095,0.04956444299982091,2.709466289566377
Topic_2,0.04887127323040599,0.04826872834709052,0.04987306241550084,3.323754578479634
Topic_3,0.04895783404777256,0.04794423234657738,0.05064304497623227,5.629066308009303
Topic_4,0.05124691655862552,0.05067880967898409,0.05219144922957117,2.984757456160919
Topic_5,0.04951669950187364,0.05009129418230902,0.04856138023419272,-3.0542511889353854
Topic_6,0.049900629723716,0.05044017046668501,0.049003591019724985,-2.848086026808463
Topic_7,0.04929546681175816,0.048578690300806436,0.0504871771335689,3.9286502393226974
Topic_8,0.04993878132334776,0.048689940606202554,0.0520150998831503,6.829253097351602
Topic_9,0.04941666307147565,0.048553641842654975,0.05085151939086318,4.732657450608557
Topic_10,0.05032452968744964,0.05061026757384924,0.04984946279651116,-1.503261717057576
Topic_11,0.04956698866447108,0.049507553329089,0.04966580566192065,0.3196529058499542
Topic_12,0.054062020286956336,0.054385414603691805,0.053524345936052244,-1.583271312564582
Topic_13,0.050661448657268224,0.050346011425638354,0.051185893584065695,1.6682198542537112
Topic_14,0.04919392732648213,0.0492216518599709,0.04914783260627024,-0.14997313359305064
Topic_15,0.05028915077487953,0.05120387150129755,0.0487683390370607,-4.756539677229541
Topic_16,0.04875905796051344,0.04876783169872185,0.04874447077158578,-0.047902328896614894
Topic_17,0.04929757209103774,0.04997367674679446,0.0481734826648638,-3.6022846408757276
Topic_18,0.05199070673464156,0.05499726961996269,0.04699200495121278,-14.55574926549479
Topic_19,0.04997274039690054,0.05019081720845726,0.049610166591383946,-1.1568861584016414
