,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.09548828385804163,0.08995345334380946,0.09618742034404994,6.930214203576765
Topic_1,0.1036665771229611,0.09464980573492869,0.10480553771934407,10.729796966363562
Topic_2,0.1022710662635778,0.09934485374938011,0.10264069310747649,3.3175743218776907
Topic_3,0.09776969876063514,0.10707484093770923,0.09659431238037322,-9.788040276831286
Topic_4,0.09991705405653306,0.10966760726883718,0.09868540522971576,-10.014080103161037
Topic_5,0.10043970242243407,0.11666270364169717,0.09839048121579012,-15.662436970452875
Topic_6,0.10135132154184827,0.09039518519594981,0.10273525455396168,13.651246281826044
Topic_7,0.09668146616434553,0.10076860699902364,0.096165195743123,-4.568298990126199
Topic_8,0.10154397937480032,0.10171266977641609,0.10152267111354354,-0.1867994059050841
Topic_9,0.1008708504348238,0.08977027335224842,0.10227302859262274,13.927500467014198
