,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,336,0.0,0.1729,"doctor, care, patient, visit, office, test, medical, year, give, issue","i am so grateful for kristina's help with breastfeeding!!  i wish i could leave more than 5 stars.  i utilized her teletherapy for a virtual lactation consult and couldn't be happier.  my son was having issues with latching and feeding initially, and she set up a zoom virtual consult to provide lactation support (which was especially helpful since we were quarantined at home with a newborn in the setting of covid-19 and unable to access in person lactation services).  we were struggling through every feed prior to the consult, and our baby was losing too much weight despite our very best efforts.  she gave new, individualized, and unique tips/techniques to try, which all worked!  he latched and fed perfectly during our consult and with every subsequent feed!!!  i appreciated that she provided real-time personalized advice and tips during the consult.  she is clearly extremely knowledgable about lactation and genuinely cares about her clients!  she is a miracle worker, and i (as well as my now happy and chunky 5-week-old son) could not recommend her more!"
1,600,1.0,0.2045,"make, feel, experience, time, question, baby, good, son, child, daughter","do not trust this office with your care.  i had a cyst growing in my cheek.  i was offered a telemedicine appointment and just given antibiotics.  after 10 days the antibiotics hadn't changed and it became really painful.  i called in to the doctor to share my concerns and my call was not returned.  i consulted with another dermatologist (a family friend from seattle) via video chat and she said i needed an urgent visit to have the cyst taken care of before it got worse.  i decided to call a dermatologist that was recommended by my friend and my dad and they got me in right away (within two hours) and said that it needed to be removed immediately.  it was removed and i was told that the contents were quite concerning and unusual and would be sent off to pathology, especially given how fast it grew.  i was so relieved to have it taken care of.  spectrum dermatology called me 24 hours after my call complaining of pain and further growth to tell me to wait an additional 2-3 weeks and continue taking the antibiotics!!!!!  their level and of care is irresponsible.  if this is something that is dangerous, they should be ashamed of their dismissive and nonchalant attitude.  i forgot to mention that i waited 50 minutes for my telemed appointment and was called by their office 20 minutes past my appointment time saying they needed my payment before the doctor would see me.  they are disorganized and rude.  please do not trust dr. stark or her staff with important matters that could be life threatening."
2,28,2.0,0.2214,"insurance, pay, review, send, money, charge, bill, receive, month, company","how many stars do you give to a clinic that almost killed you? since zero stars isn't possible i guess i'll have to settle for one star. let this serve as a psa to get your own doctor and to never visit a zoomcare if you value your life. there is a reason you never have to wait at a zoomcare, they want you in and out and fast as physically possible. my obvious symptoms were ignored and i was shoved out the door.

less than 4 hours later after i left zoomcare, where my symptoms were ignored i was experiencing a medical emergency which was only amplified because zoomcare, and their terrible pa ignored my symptoms. if i would have listened to the advice of this zoomcare, and the ""super""clinic they referred me to, i would be dead. my husband without a partner and my children without a mother.

so to zoomcare if you're reading this, these are the telltale signs of epiglottitis:
severe sore throat
fever
a muffled or hoarse voice
abnormal, high-pitched sound when breathing in (stridor)
difficulty breathing
difficulty swallowing
drooling

i experienced 6/7 of these symptoms when i came into the clinic, which i told the pa. this pa faked a strep test and sent me on my way after explaining i was having a hard time breathing, in addition to 6 of these 7 tell tale signs of epiglottitis. if you want to see where i ended up at the end of the night, check out my review of the super clinic on ne grand."
3,3,3.0,0.1789,"call, appointment, time, office, day, make, phone, week, back, schedule","i went to see someone here for an annual check-up. i had called my insurance before to confirm it would be compensated as part of my plan. they confirmed it. zoom billed it inaccurately, and i've had to pay out of pocket. i was told i would receive a refund which i have not seen. they then ignored my several emails to adjust it. i then wasted half a dozen calls with their useless billing department, nichole, who didn't adjust anything. do not come here unless you want to be billed inaccurately and have to follow-up needlessly. go anywhere else."
4,226,4.0,0.1793,"service, people, place, bad, customer, prescription, pharmacy, rude, give, location","choosing a nursing home is hard.  a year ago my grandmother was living alone in her house and as the dementia was getting worse we began the process of looking for a memory care facility.  we toured several and none of the options were great.  then grandma fell and broke both her arms and we were forced to find an acute rehab facility that also had memory care capabilities.  the list of options is short, and we selected marquis.  i cannot recommend them enough.  the food sure wasn't great but that's the only negative thing i could say.  the staff is absolutely amazing.  they were able to prevent my grandmother from needing the memory care protections by simply interacting with her.  they were able to help this fiercely independent woman transition to a situation that she never wanted to be in, and to thrive in that space.  during the covid pandemic they were very accomodating about zoom calls and facetime to replace in-person visits, and did everything right to prevent covid from entering the facility.  my grandmother had a heart attack last  week and moved to hospice.  due to covid they would only allow two visitors in total, so my sister and i spent 40 hours at my grandmother's bedside.  the staff was so caring and supportive it was incredible - especially catherine and kayla.  the whole team made this difficult period much easier and my very grateful to how great they treated my grandmother.  i cannot recommend this place enough!"
5,2,5.0,0.2861,"care, patient, staff, hospital, nurse, family, facility, home, stay, day","i came to innovative express care because my primary was moving here. i feel like it is very important to write honest reviews, especially when it comes to your health. i have been unfortunate enough to experience some not so great healthcare, and it has made me very much appreciate how attentive and caring innovative express care is. i see jenna benoit, pa-c, for primary care and have been seeing her for many years. i am really happy that jenna decided to move here because it feels like it runs on an integrated care model. they are expanding to offer wellness through ketamine infusion, cbd oil, among others. they also have an innovative med spa which i also think is great. the way they've branched out is impressed and i enjoy that they keep the same type of model. their patient portal is very easy to use and tracks your health in one setting. i am able to easily send messages and ask about prescriptions. they also have telemedicine which is helpful for when i don't need to come in/am busy. they have social workers here, too, so you can receive therapy. again, definitely feels like an integrated healthcare model being used. 

aside from going here for my primary care, i have gone to their urgent care on several occasions. my primary is kind, caring, and patient with me; she knows me well but doesn't get annoyed when i reach out, make requests, or send her many messages. as a person with anxiety, this is special to met because it helps me feel at ease. i've had the opportunity to receive care from jayme, michelle, and lindsay (all pas) in the past when i had to come in for urgent care and they were all really wonderful and kind. kindness goes a long way and it extends to their nurses who've always said hi to me and made me feel welcomed and comfortable. there was a period of time where i had to come in a few times a week or once a week and everyone from the nurses to the receptionists have always been welcoming. i definitely appreciate innovative express care and their staff; i encourage everyone to come here! be mindful that if you're coming for urgent care, you're definitely going to have to wait. it's just how it is, but i've never waited for urgent care more than 15-20 minutes; make an appointment online ahead of time is the best suggestion!"
6,831,6.0,0.2313,"wait, hour, room, time, minute, back, check, walk, leave, long","i've attended carolyn's classes in person prior to the covid-19 self-isolation era. since then, she has been doing online zoom classes. for the in-person classes, there are no real demonstrations, just her soothing melodic voice talking the class through each body movement, so not much is lost in an online/zoom class. 
i especially liked the shoulder and hip class from a recent session because it seems i am hunched over my ipad most of the day. and i can imagine many people now are using more electronic devices than before. but each class is unique and valuable and i always feel better when we are done. it's very relaxing and calming and we all need self-care."
7,743,7.0,0.2165,"work, pain, year, treatment, life, back, therapist, session, body, month","i didn't even want to leave them one star, but i was forced to put something... so one it is.  i'm am absolutely appalled by this place.   my mother called to get her blood pressure medicine renewed and they are making her come in for yet another visit.  with the current covid-19 pandemic and all the closures of businesses and even doctors offices trying to limit exposures by handling most things via phone or video chat, dr sobel is still making my mom come in for her prescription.  ok so let's have a normally healthy 62 year old come into a office, full of sick people and a highly infectious virus circulating the world, come in just to take a blood pressure and re prescribe her usual medication she's been on for years.  i mean she's not looking for narcotics or anything questionable.... it's blood pressure medication!!!  she has a blood pressure cuff she would be more than happy to take for him over the phone or even keep a log for a few days and read it back to him, but no, he's only worried about his cash cow ""bring the patient in, that's how we get paid"" mentality. i've noticed over the last few years that they no longer care about the human as a whole, it's now all about getting those visits and all those tests, so they can get paid for every little thing. me, my fiancé and my mom will be looking for a new pcp who actually cares about keeping people healthy and not just making a quick buck during a scary time.  i highly recommend looking into a different option if you are thinking about going here."
8,513,8.0,0.2255,"staff, great, recommend, good, highly, friendly, professional, nice, experience, love","i was scheduled three times last week for telemedicine appointment and the office called me three times having to cancel my appointments and office set me for an appointment on may 26th at 10:30 so i called the office at 10:45 .  so i called the office and told them i had a 10:30 and they stated he was running late. i called the office at 12:05 and the office staff said he left for the day? so i assume he was not calling me.  i called the office on may 27, 2020 and i said the doctor saadat never called me back yesterday?  office staff said they can set me up for telemedicine on may 29,2020 at 10:30 am.  i don't feel it's right to treat a patient this way even if he is best doctor.  i will not hold my breath at 10:30 on may 29/2020"
9,41,9.0,0.2283,"surgery, make, result, procedure, feel, eye, year, treatment, skin, good","so disappointed. my kids got kaiser insurance recently due to my fiancee's workplace changing insurance. it has been one debacle after another. first i went to register to be listed as a parent/caregiver. they put in our information incorrectly and somehow put that my insurance was primary even though anyone with health care experience would realize that my fiancee has a birthdate one month earlier, so his would be primary. then, my son needed an opthamology referral. they gave an approval for an outside md that was dated a year prior and therefore already expired. when i called i was transferred to another department and then called back over 3 times to get the answer i already knew. after 2 months of going back and forth, we were authorized to see the kaiser pediatric opthamologist. but then it took until january this year (2 more months) to see her.  having an over 4 month wait was unacceptable when it was all kaiser's fault. i never got a formal apology. the customer service person was sorry i had a bad experience, but with the amount of time i was fielding phone calls, i could buy a a massage and facial. now i got a bill for a phone encounter which seems illegal. my children did not have a telehealth visit nor an in person visit. that would constitute fraudulent charges. the only two good experiences i have had with kaiser were the two good doctors we saw dr. kathleen morimoto and dr. julie nishimura."
