,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.0806942897224407,0.07807406273560057,0.08102526576288366,3.780004426409065
Topic_1,0.10016306824737466,0.1003405490550241,0.10014064961903994,-0.199220990782635
Topic_2,0.10368064060732705,0.10347166844613594,0.10370703709084579,0.22747158545373225
Topic_3,0.07732164915973612,0.07757473478396992,0.07728968044930655,-0.36745769799560696
Topic_4,0.08540348110096042,0.08082995035948763,0.08598119024725176,6.372934617495392
Topic_5,0.12154924848257974,0.12668895006345823,0.12090002301973204,-4.56940170458949
Topic_6,0.11043517021819284,0.10710267566489008,0.11085611689861008,3.5045261104998087
Topic_7,0.11569304209387271,0.12074978430104205,0.1150542957098093,-4.716769163772001
Topic_8,0.09778032379034801,0.0964625786806683,0.09794677580420223,1.5386247639587185
Topic_9,0.1072790865771685,0.10870504590972284,0.10709896539831956,-1.4774663843452966
